user_id,user_name,game_id,login_datetime,logout_datetime,session_duration
12373210-95db-3225-8505-e88a7ba55e9d,Jayati Rao,4,2019-06-30 00:00:00,2019-06-30 01:14:54,01:14:54
89bc72ac-1318-3371-94d4-1eaf520e982e,Manaj Seth,3,2019-04-06 00:00:00,2019-04-06 00:30:11,00:30:11
db14a31b-5132-31d6-b0a0-f00cabc277fe,Rakes Tiwari,5,2019-03-29 00:00:00,2019-03-29 00:23:27,00:23:27
7e4d8344-78af-3d9f-8057-4039731bce76,Jasu Singh,2,2020-04-10 00:00:00,2020-04-10 01:14:50,01:14:50
7b321cb2-45ad-30f1-8a14-81d8e8ae0686,Neta Srivastav,2,2019-12-17 00:00:00,2019-12-17 00:47:47,00:47:47
3ce1d4fe-2ef1-34d4-8ec0-a100424977ad,Rajesh Patel Thakur,4,2020-02-07 00:00:00,2020-02-07 01:05:49,01:05:49
414258d6-9caa-34c8-874a-75f764e604d6,Ovesh Mishra,5,2019-05-09 00:00:00,2019-05-09 00:30:57,00:30:57
15004781-8988-3afb-b0e5-6da4762aed27,Harpreet Gupta,1,2018-12-08 00:00:00,2018-12-08 00:55:35,00:55:35
7623df3d-ec59-38be-93b0-c8e4143ed267,Jaskaran Thakur,3,2019-09-05 00:00:00,2019-09-05 00:24:00,00:24:00
2392f8b0-f459-3374-94da-9b4df5258de4,Murthi Maurrya,3,2019-03-04 00:00:00,2019-03-04 00:19:27,00:19:27
b0ce63d3-9d1d-3c12-8748-490a6805b49b,Aavesh Maurya,2,2018-12-20 00:00:00,2018-12-20 00:25:48,00:25:48
56852b23-8818-3346-b4be-722d759ec50f,Afan Srivastav,3,2018-05-22 00:00:00,2018-05-22 00:25:48,00:25:48
bcbcb8cf-9c24-3892-90d7-d9e9e5fc8698,K B Gupta,2,2019-12-09 00:00:00,2019-12-09 00:33:11,00:33:11
1a632d7c-f1c0-37b6-9256-b809f4eaf930,Ashaq Divedi,5,2018-08-21 00:00:00,2018-08-21 00:28:37,00:28:37
d5fc7100-4981-331d-b909-faecd000471d,Mithinga Singh,4,2018-09-29 00:00:00,2018-09-29 00:26:05,00:26:05
31d742ee-b8bc-33d7-80e9-119a1813a195,Mariyappan Rajput,3,2020-03-26 00:00:00,2020-03-26 00:42:30,00:42:30
cbfdbf31-9824-39fc-b345-c8dda23df844,Nadu Divedi,4,2019-03-21 00:00:00,2019-03-21 00:47:52,00:47:52
a1a6f965-7b84-3cb5-a94b-70fa543ac99c,Ramaram Srivastav,3,2018-08-13 00:00:00,2018-08-13 01:02:19,01:02:19
3a7f96c8-ec24-3495-baa4-4d0ce1ce57de,Bagda Devi,1,2020-03-31 00:00:00,2020-03-31 01:02:11,01:02:11
7bbc1da4-54d0-329f-bf04-7a52f9a8e929,Santoah Yadav,5,2019-01-31 00:00:00,2019-01-31 00:57:39,00:57:39
3aa25e65-2914-3a00-a1a8-2821b2de07c1,Vasudev Rao,2,2019-08-29 00:00:00,2019-08-29 01:14:37,01:14:37
23d58bce-e7d8-3b6a-a222-4bbe57818cf0,Moupriya Singh,3,2020-04-11 00:00:00,2020-04-11 01:06:23,01:06:23
6dda29f4-76c6-3137-9eac-509a2a03028e,Saidur Seth,5,2019-03-25 00:00:00,2019-03-25 00:40:10,00:40:10
